epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2878.9,0.81932,0.50239,1.07962,0.90361,0.79104,0.86408,0.63002,1.1183,0.9158,1.27376,0.0002378,0.0002378,0.0002378
91,2911.83,0.76854,0.41708,1.06738,0.86529,0.79095,0.85874,0.6243,1.1181,0.87136,1.26593,0.000218,0.000218,0.000218
92,2943.64,0.77269,0.42042,1.06142,0.90713,0.77985,0.86145,0.62787,1.13987,0.90622,1.27202,0.0001982,0.0001982,0.0001982
93,2975.24,0.75788,0.40365,1.0616,0.87524,0.78533,0.86638,0.63139,1.13563,0.90675,1.27918,0.0001784,0.0001784,0.0001784
94,3007.5,0.76166,0.398,1.05085,0.89662,0.7767,0.85899,0.62929,1.13331,0.91983,1.27889,0.0001586,0.0001586,0.0001586
95,3039.24,0.74582,0.40105,1.05,0.84816,0.81285,0.85995,0.63035,1.13094,0.91196,1.2805,0.0001388,0.0001388,0.0001388
96,3070.99,0.74169,0.38841,1.04587,0.9037,0.76493,0.86049,0.62454,1.1396,0.91078,1.28656,0.000119,0.000119,0.000119
97,3102.77,0.73094,0.38742,1.04089,0.86256,0.79621,0.86012,0.62544,1.14557,0.90008,1.28901,9.92e-05,9.92e-05,9.92e-05
98,3134.56,0.72071,0.38001,1.04427,0.89796,0.75746,0.85149,0.62659,1.13415,0.90263,1.28068,7.94e-05,7.94e-05,7.94e-05
99,3166.42,0.71571,0.37873,1.03133,0.87293,0.79459,0.85208,0.62355,1.12552,0.89905,1.2759,5.96e-05,5.96e-05,5.96e-05
100,3197.99,0.70825,0.36926,1.02837,0.87735,0.77405,0.85239,0.62683,1.13103,0.90243,1.2766,3.98e-05,3.98e-05,3.98e-05
